Occured on 13 April 2021 04:53:57 Message: Input string was not in a correct format. , Type: System.FormatException, Source: mscorlib
Occured on 15 April 2021 20:16:36 Message: Unable to load the specified metadata resource. , Type: System.Data.Entity.Core.MetadataException, Source: EntityFramework
Occured on 15 April 2021 20:16:39 Message: Input string was not in a correct format. , Type: System.FormatException, Source: mscorlib
Occured on 15 April 2021 20:16:41 Message: Input string was not in a correct format. , Type: System.FormatException, Source: mscorlib
Occured on 15 April 2021 20:16:41 Message: Input string was not in a correct format. , Type: System.FormatException, Source: mscorlib
Occured on 15 April 2021 20:16:46 Message: Input string was not in a correct format. , Type: System.FormatException, Source: mscorlib
Occured on 15 April 2021 20:16:54 Message: Input string was not in a correct format. , Type: System.FormatException, Source: mscorlib
Occured on 15 April 2021 20:17:15 Message: Unable to load the specified metadata resource. , Type: System.Data.Entity.Core.MetadataException, Source: EntityFramework
Occured on 15 April 2021 20:17:17 Message: Input string was not in a correct format. , Type: System.FormatException, Source: mscorlib
Occured on 15 April 2021 20:18:57 Message: Unable to load the specified metadata resource. , Type: System.Data.Entity.Core.MetadataException, Source: EntityFramework
Occured on 15 April 2021 20:25:07 Message: Unable to load the specified metadata resource. , Type: System.Data.Entity.Core.MetadataException, Source: EntityFramework
Occured on 15 April 2021 21:07:57 Message: C:\Users\Subharthi Das\Desktop\EFDBFirst\ScratchPad\Areas\Manager\Views\Products\Create.cshtml(13): error CS1061: 'Product' does not contain a definition for 'ProductName' and no accessible extension method 'ProductName' accepting a first argument of type 'Product' could be found (are you missing a using directive or an assembly reference?) , Type: System.Web.HttpCompileException, Source: System.Web
Occured on 15 April 2021 21:11:44 Message: C:\Users\Subharthi Das\Desktop\EFDBFirst\ScratchPad\Areas\Manager\Views\Products\Create.cshtml(13): error CS1061: 'Product' does not contain a definition for 'ProductName' and no accessible extension method 'ProductName' accepting a first argument of type 'Product' could be found (are you missing a using directive or an assembly reference?) , Type: System.Web.HttpCompileException, Source: System.Web
Occured on 15 April 2021 21:53:31 Message: C:\Users\Subharthi Das\Desktop\EFDBFirst\ScratchPad\Areas\Admin\Views\Products\Create.cshtml(14): error CS1061: 'Product' does not contain a definition for 'ProductName' and no accessible extension method 'ProductName' accepting a first argument of type 'Product' could be found (are you missing a using directive or an assembly reference?) , Type: System.Web.HttpCompileException, Source: System.Web
Occured on 15 April 2021 22:30:52 Message: C:\Users\Subharthi Das\Desktop\EFDBFirst\ScratchPad\Areas\Admin\Views\Products\Edit.cshtml(41): error CS0246: The type or namespace name 'Category' could not be found (are you missing a using directive or an assembly reference?) , Type: System.Web.HttpCompileException, Source: System.Web
Occured on 15 April 2021 22:31:31 Message: The parameters dictionary contains a null entry for parameter 'id' of non-nullable type 'System.Int32' for method 'System.Web.Mvc.ActionResult Edit(Int32)' in 'ScratchPad.Areas.Admin.Controllers.ProductsController'. An optional parameter must be a reference type, a nullable type, or be declared as an optional parameter.
Parameter name: parameters , Type: System.ArgumentException, Source: System.Web.Mvc
Occured on 16 April 2021 13:34:46 Message: Price limit exceeds , Type: System.Exception, Source: Company.ServiceLayer
